Epoch 1 | Train Loss: 0.2650 | Train Acc: 85.35% | Val Loss: 0.2644 | Val Acc: 85.25%
Epoch 2 | Train Loss: 0.1888 | Train Acc: 90.03% | Val Loss: 0.1899 | Val Acc: 90.28%
Epoch 3 | Train Loss: 0.1641 | Train Acc: 91.48% | Val Loss: 0.1672 | Val Acc: 90.95%
Epoch 4 | Train Loss: 0.1416 | Train Acc: 92.65% | Val Loss: 0.1478 | Val Acc: 92.45%
Epoch 5 | Train Loss: 0.1196 | Train Acc: 93.91% | Val Loss: 0.1252 | Val Acc: 93.47%
Epoch 6 | Train Loss: 0.1097 | Train Acc: 94.55% | Val Loss: 0.1160 | Val Acc: 93.85%
Epoch 7 | Train Loss: 0.1025 | Train Acc: 94.84% | Val Loss: 0.1084 | Val Acc: 94.60%
Epoch 8 | Train Loss: 0.1020 | Train Acc: 94.87% | Val Loss: 0.1122 | Val Acc: 93.97%
Epoch 9 | Train Loss: 0.0925 | Train Acc: 95.65% | Val Loss: 0.1051 | Val Acc: 94.52%
Epoch 10 | Train Loss: 0.0823 | Train Acc: 96.26% | Val Loss: 0.0936 | Val Acc: 95.35%
95.35 95.11
