Epoch 1 | Train Loss: 0.3647 | Train Acc: 85.62% | Val Loss: 0.3669 | Val Acc: 85.35%
Epoch 2 | Train Loss: 0.2498 | Train Acc: 89.47% | Val Loss: 0.2504 | Val Acc: 89.50%
Epoch 3 | Train Loss: 0.2100 | Train Acc: 91.08% | Val Loss: 0.2096 | Val Acc: 91.13%
Epoch 4 | Train Loss: 0.1890 | Train Acc: 92.11% | Val Loss: 0.1892 | Val Acc: 91.92%
Epoch 5 | Train Loss: 0.1758 | Train Acc: 92.85% | Val Loss: 0.1766 | Val Acc: 92.65%
Epoch 6 | Train Loss: 0.1650 | Train Acc: 93.45% | Val Loss: 0.1668 | Val Acc: 93.30%
Epoch 7 | Train Loss: 0.1574 | Train Acc: 93.73% | Val Loss: 0.1590 | Val Acc: 93.60%
Epoch 8 | Train Loss: 0.1500 | Train Acc: 94.25% | Val Loss: 0.1523 | Val Acc: 94.02%
Epoch 9 | Train Loss: 0.1438 | Train Acc: 94.56% | Val Loss: 0.1468 | Val Acc: 94.28%
Epoch 10 | Train Loss: 0.1383 | Train Acc: 94.86% | Val Loss: 0.1416 | Val Acc: 94.57%
94.56666666666666 94.89
