Epoch 1 | Train Loss: 0.2939 | Train Acc: 82.91% | Val Loss: 0.2997 | Val Acc: 82.80%
Epoch 2 | Train Loss: 0.2687 | Train Acc: 83.77% | Val Loss: 0.2752 | Val Acc: 83.47%
Epoch 3 | Train Loss: 0.2688 | Train Acc: 83.62% | Val Loss: 0.2760 | Val Acc: 83.47%
Epoch 4 | Train Loss: 0.2780 | Train Acc: 83.05% | Val Loss: 0.2841 | Val Acc: 82.62%
Epoch 5 | Train Loss: 0.2563 | Train Acc: 84.73% | Val Loss: 0.2636 | Val Acc: 84.20%
Epoch 6 | Train Loss: 0.2551 | Train Acc: 84.81% | Val Loss: 0.2631 | Val Acc: 84.22%
Epoch 7 | Train Loss: 0.2605 | Train Acc: 84.34% | Val Loss: 0.2675 | Val Acc: 83.70%
Epoch 8 | Train Loss: 0.2541 | Train Acc: 84.69% | Val Loss: 0.2603 | Val Acc: 84.27%
Epoch 9 | Train Loss: 0.2556 | Train Acc: 84.76% | Val Loss: 0.2628 | Val Acc: 84.20%
Epoch 10 | Train Loss: 0.2572 | Train Acc: 84.19% | Val Loss: 0.2646 | Val Acc: 84.05%
84.05 82.74000000000001
