Epoch 1 | Train Loss: 0.1217 | Train Acc: 96.40% | Val Loss: 0.1381 | Val Acc: 95.68%
Epoch 2 | Train Loss: 0.0892 | Train Acc: 97.43% | Val Loss: 0.1124 | Val Acc: 96.43%
Epoch 3 | Train Loss: 0.0735 | Train Acc: 97.76% | Val Loss: 0.1170 | Val Acc: 96.50%
Epoch 4 | Train Loss: 0.0948 | Train Acc: 96.94% | Val Loss: 0.1391 | Val Acc: 95.82%
Epoch 5 | Train Loss: 0.0542 | Train Acc: 98.34% | Val Loss: 0.1098 | Val Acc: 96.77%
Epoch 6 | Train Loss: 0.0360 | Train Acc: 98.89% | Val Loss: 0.0955 | Val Acc: 97.35%
Epoch 7 | Train Loss: 0.0249 | Train Acc: 99.27% | Val Loss: 0.0926 | Val Acc: 97.37%
Epoch 8 | Train Loss: 0.0218 | Train Acc: 99.39% | Val Loss: 0.0926 | Val Acc: 97.50%
Epoch 9 | Train Loss: 0.0679 | Train Acc: 97.84% | Val Loss: 0.1574 | Val Acc: 95.77%
Epoch 10 | Train Loss: 0.0428 | Train Acc: 98.55% | Val Loss: 0.1247 | Val Acc: 96.62%
96.61666666666666 96.1
