Epoch 1 | Train Loss: 0.1897 | Train Acc: 92.69% | Val Loss: 0.1892 | Val Acc: 93.15%
Epoch 2 | Train Loss: 0.1581 | Train Acc: 93.89% | Val Loss: 0.1595 | Val Acc: 94.02%
Epoch 3 | Train Loss: 0.1225 | Train Acc: 95.24% | Val Loss: 0.1244 | Val Acc: 95.05%
Epoch 4 | Train Loss: 0.1100 | Train Acc: 95.66% | Val Loss: 0.1127 | Val Acc: 95.48%
Epoch 5 | Train Loss: 0.1018 | Train Acc: 96.17% | Val Loss: 0.1059 | Val Acc: 95.77%
Epoch 6 | Train Loss: 0.0857 | Train Acc: 96.70% | Val Loss: 0.0914 | Val Acc: 96.20%
Epoch 7 | Train Loss: 0.0754 | Train Acc: 97.10% | Val Loss: 0.0812 | Val Acc: 96.65%
Epoch 8 | Train Loss: 0.0684 | Train Acc: 97.34% | Val Loss: 0.0758 | Val Acc: 96.77%
Epoch 9 | Train Loss: 0.0772 | Train Acc: 97.35% | Val Loss: 0.0851 | Val Acc: 96.78%
Epoch 10 | Train Loss: 0.0678 | Train Acc: 97.67% | Val Loss: 0.0778 | Val Acc: 96.87%
96.86666666666667 96.78999999999999
