Epoch 1 | Train Loss: 0.3676 | Train Acc: 87.11% | Val Loss: 0.3700 | Val Acc: 87.73%
Epoch 2 | Train Loss: 0.3020 | Train Acc: 89.85% | Val Loss: 0.3040 | Val Acc: 90.05%
Epoch 3 | Train Loss: 0.2644 | Train Acc: 91.40% | Val Loss: 0.2669 | Val Acc: 91.43%
Epoch 4 | Train Loss: 0.2339 | Train Acc: 92.42% | Val Loss: 0.2364 | Val Acc: 92.40%
Epoch 5 | Train Loss: 0.2146 | Train Acc: 93.12% | Val Loss: 0.2177 | Val Acc: 93.02%
Epoch 6 | Train Loss: 0.2009 | Train Acc: 93.66% | Val Loss: 0.2048 | Val Acc: 93.43%
Epoch 7 | Train Loss: 0.1867 | Train Acc: 94.04% | Val Loss: 0.1905 | Val Acc: 94.03%
Epoch 8 | Train Loss: 0.1747 | Train Acc: 94.37% | Val Loss: 0.1785 | Val Acc: 94.23%
Epoch 9 | Train Loss: 0.1676 | Train Acc: 94.63% | Val Loss: 0.1721 | Val Acc: 94.30%
Epoch 10 | Train Loss: 0.1627 | Train Acc: 94.89% | Val Loss: 0.1681 | Val Acc: 94.73%
94.73333333333333 94.78999999999999
