Epoch 1 | Train Loss: 0.4439 | Train Acc: 73.05% | Val Loss: 0.4512 | Val Acc: 72.53%
Epoch 2 | Train Loss: 0.4032 | Train Acc: 77.53% | Val Loss: 0.4094 | Val Acc: 77.43%
Epoch 3 | Train Loss: 0.3830 | Train Acc: 77.38% | Val Loss: 0.3893 | Val Acc: 76.63%
Epoch 4 | Train Loss: 0.3782 | Train Acc: 78.26% | Val Loss: 0.3842 | Val Acc: 77.93%
Epoch 5 | Train Loss: 0.3742 | Train Acc: 79.33% | Val Loss: 0.3806 | Val Acc: 78.77%
Epoch 6 | Train Loss: 0.3729 | Train Acc: 79.06% | Val Loss: 0.3784 | Val Acc: 78.70%
Epoch 7 | Train Loss: 0.3702 | Train Acc: 79.50% | Val Loss: 0.3762 | Val Acc: 79.35%
Epoch 8 | Train Loss: 0.3628 | Train Acc: 79.52% | Val Loss: 0.3682 | Val Acc: 79.02%
Epoch 9 | Train Loss: 0.3615 | Train Acc: 78.61% | Val Loss: 0.3667 | Val Acc: 78.20%
Epoch 10 | Train Loss: 0.3618 | Train Acc: 79.55% | Val Loss: 0.3674 | Val Acc: 78.97%
78.96666666666667 78.60000000000001
