Epoch 1 | Train Loss: 0.3543 | Train Acc: 84.39% | Val Loss: 0.3564 | Val Acc: 84.30%
Epoch 2 | Train Loss: 0.3276 | Train Acc: 86.93% | Val Loss: 0.3296 | Val Acc: 87.03%
Epoch 3 | Train Loss: 0.3201 | Train Acc: 87.67% | Val Loss: 0.3222 | Val Acc: 88.02%
Epoch 4 | Train Loss: 0.3166 | Train Acc: 87.86% | Val Loss: 0.3184 | Val Acc: 88.07%
Epoch 5 | Train Loss: 0.3156 | Train Acc: 88.00% | Val Loss: 0.3169 | Val Acc: 88.18%
Epoch 6 | Train Loss: 0.3099 | Train Acc: 87.41% | Val Loss: 0.3109 | Val Acc: 87.35%
Epoch 7 | Train Loss: 0.3148 | Train Acc: 86.50% | Val Loss: 0.3166 | Val Acc: 86.28%
Epoch 8 | Train Loss: 0.3182 | Train Acc: 87.31% | Val Loss: 0.3197 | Val Acc: 87.42%
Epoch 9 | Train Loss: 0.3089 | Train Acc: 87.05% | Val Loss: 0.3108 | Val Acc: 86.83%
Epoch 10 | Train Loss: 0.3122 | Train Acc: 86.60% | Val Loss: 0.3133 | Val Acc: 86.72%
86.71666666666667 87.19
