Epoch 1 | Train Loss: 0.2341 | Train Acc: 92.17% | Val Loss: 0.2333 | Val Acc: 92.67%
Epoch 2 | Train Loss: 0.1480 | Train Acc: 94.70% | Val Loss: 0.1499 | Val Acc: 94.52%
Epoch 3 | Train Loss: 0.1377 | Train Acc: 95.32% | Val Loss: 0.1409 | Val Acc: 95.05%
Epoch 4 | Train Loss: 0.0981 | Train Acc: 96.40% | Val Loss: 0.1042 | Val Acc: 95.78%
Epoch 5 | Train Loss: 0.1002 | Train Acc: 96.47% | Val Loss: 0.1078 | Val Acc: 95.87%
Epoch 6 | Train Loss: 0.1124 | Train Acc: 96.21% | Val Loss: 0.1205 | Val Acc: 95.52%
Epoch 7 | Train Loss: 0.0627 | Train Acc: 97.60% | Val Loss: 0.0720 | Val Acc: 96.80%
Epoch 8 | Train Loss: 0.0682 | Train Acc: 97.69% | Val Loss: 0.0789 | Val Acc: 96.77%
Epoch 9 | Train Loss: 0.0582 | Train Acc: 97.99% | Val Loss: 0.0705 | Val Acc: 97.00%
Epoch 10 | Train Loss: 0.0542 | Train Acc: 98.16% | Val Loss: 0.0668 | Val Acc: 97.17%
97.16666666666667 97.17
