Epoch 1 | Train Loss: 1.2245 | Train Acc: 62.87% | Val Loss: 1.2358 | Val Acc: 62.15%
Epoch 2 | Train Loss: 0.9738 | Train Acc: 68.58% | Val Loss: 0.9849 | Val Acc: 67.73%
Epoch 3 | Train Loss: 0.8588 | Train Acc: 71.98% | Val Loss: 0.8693 | Val Acc: 71.27%
Epoch 4 | Train Loss: 0.7882 | Train Acc: 73.98% | Val Loss: 0.7985 | Val Acc: 73.15%
Epoch 5 | Train Loss: 0.7392 | Train Acc: 75.54% | Val Loss: 0.7492 | Val Acc: 74.35%
Epoch 6 | Train Loss: 0.7017 | Train Acc: 76.91% | Val Loss: 0.7116 | Val Acc: 75.65%
Epoch 7 | Train Loss: 0.6732 | Train Acc: 77.80% | Val Loss: 0.6838 | Val Acc: 76.53%
Epoch 8 | Train Loss: 0.6468 | Train Acc: 78.60% | Val Loss: 0.6569 | Val Acc: 77.48%
Epoch 9 | Train Loss: 0.6259 | Train Acc: 79.16% | Val Loss: 0.6360 | Val Acc: 78.30%
Epoch 10 | Train Loss: 0.6076 | Train Acc: 79.78% | Val Loss: 0.6177 | Val Acc: 78.97%
78.96666666666667 78.47
