Epoch 1 | Train Loss: 0.2681 | Train Acc: 92.45% | Val Loss: 0.2689 | Val Acc: 92.57%
Epoch 2 | Train Loss: 0.2307 | Train Acc: 93.44% | Val Loss: 0.2340 | Val Acc: 93.30%
Epoch 3 | Train Loss: 0.2004 | Train Acc: 94.44% | Val Loss: 0.2074 | Val Acc: 94.23%
Epoch 4 | Train Loss: 0.1804 | Train Acc: 95.01% | Val Loss: 0.1898 | Val Acc: 94.55%
Epoch 5 | Train Loss: 0.1630 | Train Acc: 95.49% | Val Loss: 0.1754 | Val Acc: 95.00%
Epoch 6 | Train Loss: 0.1488 | Train Acc: 95.93% | Val Loss: 0.1615 | Val Acc: 95.50%
Epoch 7 | Train Loss: 0.1360 | Train Acc: 96.26% | Val Loss: 0.1521 | Val Acc: 95.75%
Epoch 8 | Train Loss: 0.1252 | Train Acc: 96.61% | Val Loss: 0.1420 | Val Acc: 95.93%
Epoch 9 | Train Loss: 0.1168 | Train Acc: 96.81% | Val Loss: 0.1360 | Val Acc: 96.03%
Epoch 10 | Train Loss: 0.1086 | Train Acc: 97.06% | Val Loss: 0.1296 | Val Acc: 96.17%
96.16666666666667 96.2
