Epoch 1 | Train Loss: 0.9515 | Train Acc: 9.89% | Val Loss: 0.9518 | Val Acc: 9.67%
Epoch 2 | Train Loss: 0.9249 | Train Acc: 9.89% | Val Loss: 0.9252 | Val Acc: 9.67%
Epoch 3 | Train Loss: 0.9120 | Train Acc: 9.89% | Val Loss: 0.9123 | Val Acc: 9.67%
Epoch 4 | Train Loss: 0.9058 | Train Acc: 11.27% | Val Loss: 0.9060 | Val Acc: 10.90%
Epoch 5 | Train Loss: 0.9027 | Train Acc: 11.27% | Val Loss: 0.9029 | Val Acc: 10.90%
Epoch 6 | Train Loss: 0.9012 | Train Acc: 11.27% | Val Loss: 0.9014 | Val Acc: 10.90%
Epoch 7 | Train Loss: 0.9005 | Train Acc: 11.27% | Val Loss: 0.9007 | Val Acc: 10.90%
Epoch 8 | Train Loss: 0.9001 | Train Acc: 11.27% | Val Loss: 0.9003 | Val Acc: 10.90%
Epoch 9 | Train Loss: 0.8999 | Train Acc: 11.27% | Val Loss: 0.9001 | Val Acc: 10.90%
Epoch 10 | Train Loss: 0.8998 | Train Acc: 11.27% | Val Loss: 0.9000 | Val Acc: 10.90%
10.9 11.35
