Epoch 1 | Train Loss: 0.3226 | Train Acc: 82.21% | Val Loss: 0.3272 | Val Acc: 82.15%
Epoch 2 | Train Loss: 0.3078 | Train Acc: 82.67% | Val Loss: 0.3122 | Val Acc: 82.75%
Epoch 3 | Train Loss: 0.3044 | Train Acc: 82.38% | Val Loss: 0.3097 | Val Acc: 82.17%
Epoch 4 | Train Loss: 0.3090 | Train Acc: 82.66% | Val Loss: 0.3149 | Val Acc: 82.10%
Epoch 5 | Train Loss: 0.2880 | Train Acc: 82.67% | Val Loss: 0.2935 | Val Acc: 82.65%
Epoch 6 | Train Loss: 0.2813 | Train Acc: 83.44% | Val Loss: 0.2886 | Val Acc: 82.98%
Epoch 7 | Train Loss: 0.2868 | Train Acc: 83.12% | Val Loss: 0.2931 | Val Acc: 82.50%
Epoch 8 | Train Loss: 0.2724 | Train Acc: 83.45% | Val Loss: 0.2783 | Val Acc: 83.00%
Epoch 9 | Train Loss: 0.2736 | Train Acc: 83.45% | Val Loss: 0.2796 | Val Acc: 82.80%
Epoch 10 | Train Loss: 0.2731 | Train Acc: 83.31% | Val Loss: 0.2802 | Val Acc: 82.90%
82.89999999999999 82.45
