Epoch 1 | Train Loss: 0.3592 | Train Acc: 81.00% | Val Loss: 0.3663 | Val Acc: 80.68%
Epoch 2 | Train Loss: 0.3142 | Train Acc: 82.91% | Val Loss: 0.3216 | Val Acc: 82.52%
Epoch 3 | Train Loss: 0.2900 | Train Acc: 84.07% | Val Loss: 0.2980 | Val Acc: 83.63%
Epoch 4 | Train Loss: 0.2756 | Train Acc: 84.46% | Val Loss: 0.2833 | Val Acc: 84.10%
Epoch 5 | Train Loss: 0.2637 | Train Acc: 85.07% | Val Loss: 0.2721 | Val Acc: 84.50%
Epoch 6 | Train Loss: 0.2539 | Train Acc: 85.57% | Val Loss: 0.2617 | Val Acc: 85.00%
Epoch 7 | Train Loss: 0.2463 | Train Acc: 85.91% | Val Loss: 0.2553 | Val Acc: 85.30%
Epoch 8 | Train Loss: 0.2400 | Train Acc: 86.24% | Val Loss: 0.2495 | Val Acc: 85.60%
Epoch 9 | Train Loss: 0.2364 | Train Acc: 86.48% | Val Loss: 0.2466 | Val Acc: 85.68%
Epoch 10 | Train Loss: 0.2323 | Train Acc: 86.81% | Val Loss: 0.2432 | Val Acc: 85.83%
85.83333333333333 85.13
