Epoch 1 | Train Loss: 0.3990 | Train Acc: 83.85% | Val Loss: 0.4004 | Val Acc: 83.87%
Epoch 2 | Train Loss: 0.3170 | Train Acc: 87.78% | Val Loss: 0.3192 | Val Acc: 88.03%
Epoch 3 | Train Loss: 0.2763 | Train Acc: 89.34% | Val Loss: 0.2776 | Val Acc: 89.30%
Epoch 4 | Train Loss: 0.2500 | Train Acc: 90.32% | Val Loss: 0.2517 | Val Acc: 90.30%
Epoch 5 | Train Loss: 0.2331 | Train Acc: 90.88% | Val Loss: 0.2339 | Val Acc: 90.78%
Epoch 6 | Train Loss: 0.2211 | Train Acc: 91.40% | Val Loss: 0.2217 | Val Acc: 91.35%
Epoch 7 | Train Loss: 0.2118 | Train Acc: 91.76% | Val Loss: 0.2124 | Val Acc: 91.68%
Epoch 8 | Train Loss: 0.2045 | Train Acc: 92.01% | Val Loss: 0.2048 | Val Acc: 91.90%
Epoch 9 | Train Loss: 0.1982 | Train Acc: 92.23% | Val Loss: 0.1988 | Val Acc: 92.17%
Epoch 10 | Train Loss: 0.1927 | Train Acc: 92.48% | Val Loss: 0.1934 | Val Acc: 92.43%
92.43333333333334 92.54
