Epoch 1 | Train Loss: 0.5239 | Train Acc: 69.99% | Val Loss: 0.5295 | Val Acc: 69.45%
Epoch 2 | Train Loss: 0.4346 | Train Acc: 74.60% | Val Loss: 0.4411 | Val Acc: 74.03%
Epoch 3 | Train Loss: 0.3960 | Train Acc: 76.41% | Val Loss: 0.4025 | Val Acc: 75.62%
Epoch 4 | Train Loss: 0.3699 | Train Acc: 78.47% | Val Loss: 0.3760 | Val Acc: 78.08%
Epoch 5 | Train Loss: 0.3539 | Train Acc: 80.13% | Val Loss: 0.3597 | Val Acc: 79.80%
Epoch 6 | Train Loss: 0.3437 | Train Acc: 80.15% | Val Loss: 0.3487 | Val Acc: 79.82%
Epoch 7 | Train Loss: 0.3327 | Train Acc: 81.30% | Val Loss: 0.3376 | Val Acc: 81.05%
Epoch 8 | Train Loss: 0.3262 | Train Acc: 81.65% | Val Loss: 0.3310 | Val Acc: 81.10%
Epoch 9 | Train Loss: 0.3169 | Train Acc: 81.96% | Val Loss: 0.3213 | Val Acc: 81.88%
Epoch 10 | Train Loss: 0.3077 | Train Acc: 82.25% | Val Loss: 0.3122 | Val Acc: 82.05%
82.05 81.21000000000001
